"ClientAccountID","CurrencyPrimary","AssetClass","SubCategory","Symbol","UnderlyingSymbol","ListingExchange","Exchange","Multiplier","Strike","Expiry","Put/Call","TradeID","OrderID","ExecID","Buy/Sell","Date/Time","TradeDate","Quantity","Price","Proceeds","Commission","CommissionCurrency","NetCash"
"U1234567","USD","STK","","AAPL","","NASDAQ","NASDAQ","1","","","","1001","9001","0001f4a7.aapl.001","BUY","20240102;093500","20240102","100","150.00","-15000.00","-1.00","USD","-15001.00"
"U1234567","USD","STK","","AAPL","","NASDAQ","NASDAQ","1","","","","1002","9002","0001f4a7.aapl.002","SELL","20240102;101500","20240102","100","152.50","15250.00","-1.00","USD","15249.00"
"U1234567","USD","STK","","AAPL","","NASDAQ","NASDAQ","1","","","","1003","9003","0001f4a7.aapl.003","BUY","20240102;110000","20240102","50","151.00","-7550.00","-0.50","USD","-7550.50"
"U1234567","USD","STK","","AAPL","","NASDAQ","NASDAQ","1","","","","1004","9004","0001f4a7.aapl.004","BUY","20240102;110500","20240102","50","151.50","-7575.00","-0.50","USD","-7575.50"
"U1234567","USD","STK","","AAPL","","NASDAQ","NASDAQ","1","","","","1005","9005","0001f4a7.aapl.005","SELL","20240102;113000","20240102","100","153.00","15300.00","-1.00","USD","15299.00"
"U1234567","USD","FUT","","ESH4","ES","CME","CME","50","","20240315","","1006","9006","0001f4a7.esh4.001","BUY","20240102;093100","20240102","1","4700.00","-235000.00","-2.25","USD","-235002.25"
"U1234567","USD","FUT","","ESH4","ES","CME","CME","50","","20240315","","1007","9007","0001f4a7.esh4.002","SELL","20240102;094500","20240102","1","4710.00","235500.00","-2.25","USD","235497.75"
"U1234567","USD","OPT","","AAPL  240119C00150000","AAPL","AMEX","AMEX","100","150","20240119","C","1008","9008","0001f4a7.aaplopt.001","BUY","20240103;094000","20240103","2","3.50","-700.00","-1.30","USD","-701.30"
"U1234567","USD","OPT","","AAPL  240119C00150000","AAPL","AMEX","AMEX","100","150","20240119","C","1009","9009","0001f4a7.aaplopt.002","SELL","20240103;100500","20240103","2","4.20","840.00","-1.30","USD","838.70"
"U1234567","USD","STK","ETF","SPY","","ARCA","ARCA","1","","","","1010","9010","0001f4a7.spy.001","BUY","20240103;093500","20240103","10","470.00","-4700.00","-0.35","USD","-4700.35"
"U1234567","USD","STK","ETF","SPY","","ARCA","ARCA","1","","","","1011","9011","0001f4a7.spy.002","SELL","20240103;095000","20240103","10","472.00","4720.00","-0.35","USD","4719.65"
